# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
9;cache1;app1;50000000;6099.9999;4000.0000;0.0000;0.0000;2099.9999
9;cache1;app1;50000000;6099.9999;4000.0000;0.0000;0.0000;2099.9999
0;db1;app1;5000000;14000.0000;5000.0000;0.0000;0.0000;9000.0000
0;db1;app1;5000000;14000.0000;5000.0000;0.0000;0.0000;9000.0000
6;db1;app1;50000000;9199.9999;5000.0000;0.0000;0.0000;4199.9999
6;db1;app1;50000000;9199.9999;5000.0000;0.0000;0.0000;4199.9999
8;cache0;app0;20000000;12599.9999;10000.0000;0.0000;0.0000;2599.9999
8;cache0;app0;20000000;12599.9999;10000.0000;0.0000;0.0000;2599.9999
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14100.0000
20;cache0;app0;5000000;7600.0000;4000.0000;0.0000;0.0000;3600.0000
20;cache0;app0;5000000;7600.0000;4000.0000;0.0000;0.0000;3600.0000
24;app0;cache0;100000000;4699.9999;4000.0000;0.0000;0.0000;699.9999
24;app0;cache0;100000000;4699.9999;4000.0000;0.0000;0.0000;699.9999
11;db0;app0;5000000;20400.0000;20000.0000;0.0000;0.0000;400.0000
11;db0;app0;5000000;20400.0000;20000.0000;0.0000;0.0000;400.0000
21;cache1;app1;5000000;12899.9999;10000.0000;0.0000;0.0000;2899.9999
21;cache1;app1;5000000;12899.9999;10000.0000;0.0000;0.0000;2899.9999
18;db0;app0;20000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
18;db0;app0;20000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15300.0000
27;cache1;app1;75000000;12899.9999;4000.0000;0.0000;0.0000;8899.9999
27;cache1;app1;75000000;12899.9999;4000.0000;0.0000;0.0000;8899.9999
12;app0;db0;5000000;29599.9999;20000.0000;0.0000;0.0000;9599.9999
12;app0;db0;5000000;29599.9999;20000.0000;0.0000;0.0000;9599.9999
35;web1;app0;5000000;12700.0000;10000.0000;0.0000;0.0000;2700.0000
35;web1;app0;5000000;12700.0000;10000.0000;0.0000;0.0000;2700.0000
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.9999
44;db0;app0;75000000;6900.0000;2000.0000;0.0000;0.0000;4900.0000
44;db0;app0;75000000;6900.0000;2000.0000;0.0000;0.0000;4900.0000
45;db0;app0;75000000;9200.0000;5000.0000;0.0000;0.0000;4200.0000
45;db0;app0;75000000;9200.0000;5000.0000;0.0000;0.0000;4200.0000
40;db1;app1;10000000;18499.9999;10000.0000;0.0000;0.0000;8499.9999
40;db1;app1;10000000;18499.9999;10000.0000;0.0000;0.0000;8499.9999
49;db1;app1;100000000;11300.0000;10000.0000;0.0000;0.0000;1300.0000
49;db1;app1;100000000;11300.0000;10000.0000;0.0000;0.0000;1300.0000
47;app0;db0;10000000;12799.9999;10000.0000;0.0000;0.0000;2799.9999
47;app0;db0;10000000;12799.9999;10000.0000;0.0000;0.0000;2799.9999
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
17;web0;web0;20000000;35900.0000;10000.0000;0.0000;0.0000;25900.0000
14;app1;db1;50000000;48199.9999;40000.0000;0.0000;0.0000;8199.9999
14;app1;db1;50000000;48199.9999;40000.0000;0.0000;0.0000;8199.9999
16;app1;web0;100000000;46700.0000;40000.0000;0.0000;0.0000;6700.0000
16;app1;web0;100000000;46700.0000;40000.0000;0.0000;0.0000;6700.0000
13;cache0;app0;5000000;49099.9999;40000.0000;0.0000;0.0000;9099.9999
13;cache0;app0;5000000;49099.9999;40000.0000;0.0000;0.0000;9099.9999
48;app0;web1;20000000;22200.0000;20000.0000;0.0000;0.0000;2200.0000
48;app0;web1;20000000;22200.0000;20000.0000;0.0000;0.0000;2200.0000
54;db1;app1;100000000;17800.0000;10000.0000;0.0000;0.0000;7800.0000
54;db1;app1;100000000;17800.0000;10000.0000;0.0000;0.0000;7800.0000
