# units: time(s); switchId; energy(watt)
10;12;0.1853
10;11;0.1853
10;10;0.1853
10;9;0.1853
10;8;0.1853
10;7;0.1853
10;6;0.1853
20;12;0.3706
20;11;0.3706
20;10;0.3706
20;9;0.3706
20;8;0.3706
20;7;0.3706
20;6;0.3706
30;12;0.5558
30;11;0.5558
30;10;0.5558
30;9;0.5558
30;8;0.5558
30;7;0.5558
30;6;0.5558
40;12;0.7411
40;11;0.7411
40;10;0.7411
40;9;0.7411
40;8;0.7411
40;7;0.7411
40;6;0.7411
50;12;0.9264
50;11;0.9264
50;10;0.9264
50;9;0.9264
50;8;0.9264
50;7;0.9264
50;6;0.9264
60;12;1.1117
60;11;1.1117
60;10;1.1117
60;9;1.1117
60;8;1.1117
60;7;1.1117
60;6;1.1117
70;12;1.2969
70;11;1.2969
70;10;1.2969
70;9;1.2969
70;8;1.2969
70;7;1.2969
70;6;1.2969
80;12;1.4822
80;11;1.4822
80;10;1.4822
80;9;1.4822
80;8;1.4822
80;7;1.4822
80;6;1.4822
90;12;1.6675
90;11;1.6675
90;10;1.6675
90;9;1.6675
90;8;1.6675
90;7;1.6675
90;6;1.6675
100;12;1.8528
100;11;1.8528
100;10;1.8528
100;9;1.8528
100;8;1.8528
100;7;1.8528
100;6;1.8528
110;12;2.0381
110;11;2.0381
110;10;2.0381
110;9;2.0381
110;8;2.0381
110;7;2.0381
110;6;2.0381
120;12;2.2233
120;11;2.2233
120;10;2.2233
120;9;2.2233
120;8;2.2233
120;7;2.2233
120;6;2.2233
130;12;2.4086
130;11;2.4086
130;10;2.4086
130;9;2.4086
130;8;2.4086
130;7;2.4086
130;6;2.4086
140;12;2.5939
140;11;2.5939
140;10;2.5939
140;9;2.5939
140;8;2.5939
140;7;2.5939
140;6;2.5939
150;12;2.7792
150;11;2.7792
150;10;2.7792
150;9;2.7792
150;8;2.7792
150;7;2.7792
150;6;2.7792
160;12;2.9644
160;11;2.9644
160;10;2.9644
160;9;2.9644
160;8;2.9644
160;7;2.9644
160;6;2.9644
170;12;3.1497
170;11;3.1497
170;10;3.1497
170;9;3.1497
170;8;3.1497
170;7;3.1497
170;6;3.1497
180;12;3.3350
180;11;3.3350
180;10;3.3350
180;9;3.3350
180;8;3.3350
180;7;3.3350
180;6;3.3350
190;12;3.5203
190;11;3.5203
190;10;3.5203
190;9;3.5203
190;8;3.5203
190;7;3.5203
190;6;3.5203
200;12;3.7056
200;11;3.7056
200;10;3.7056
200;9;3.7056
200;8;3.7056
200;7;3.7056
200;6;3.7056
210;12;3.8908
210;11;3.8908
210;10;3.8908
210;9;3.8908
210;8;3.8908
210;7;3.8908
210;6;3.8908
220;12;4.0761
220;11;4.0761
220;10;4.0761
220;9;4.0761
220;8;4.0761
220;7;4.0761
220;6;4.0761
230;12;4.2614
230;11;4.2614
230;10;4.2614
230;9;4.2614
230;8;4.2614
230;7;4.2614
230;6;4.2614
240;12;4.4467
240;11;4.4467
240;10;4.4467
240;9;4.4467
240;8;4.4467
240;7;4.4467
240;6;4.4467
250;12;4.6319
250;11;4.6319
250;10;4.6319
250;9;4.6319
250;8;4.6319
250;7;4.6319
250;6;4.6319
260;12;4.8172
260;11;4.8172
260;10;4.8172
260;9;4.8172
260;8;4.8172
