# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;11;1.56;6.25;6.00;0.3335
10.00;10;1.56;6.25;5.00;0.3335
10.00;9;1.17;4.69;5.00;0.3335
10.00;8;6.25;12.50;10.00;0.3338
10.00;7;1.56;6.25;5.00;0.3335
10.00;6;1.95;4.69;4.00;0.3335
10.00;5;6.25;12.50;10.00;0.3338
10.00;4;0.78;3.13;4.00;0.3334
10.00;3;1.17;4.69;4.50;0.3335
10.00;2;1.56;6.25;4.00;0.3335
10.00;1;3.13;6.25;5.00;0.3336
10.00;0;1.95;4.69;4.50;0.3335
10.00;11;1.56;6.25;8.48;0.0698
10.00;10;1.56;6.25;10.16;0.0698
10.00;9;1.17;4.69;4.12;0.0696
10.00;8;6.25;12.50;5.44;0.0700
10.00;7;1.56;6.25;2.24;0.0697
10.00;6;1.95;4.69;8.08;0.0697
10.00;5;6.25;12.50;2.40;0.0700
10.00;4;0.78;3.13;1.20;0.0696
10.00;3;1.17;4.69;8.28;0.0697
10.00;2;1.56;6.25;0.32;0.0696
10.00;1;3.13;6.25;0.32;0.0697
10.00;0;1.95;4.69;3.28;0.0697
20.00;11;1.56;6.25;6.00;0.3335
20.00;10;1.56;6.25;5.00;0.3335
20.00;9;1.17;4.69;5.00;0.3335
20.00;8;6.25;12.50;10.00;0.3338
20.00;7;1.56;6.25;5.00;0.3335
20.00;6;1.95;4.69;4.00;0.3335
20.00;5;6.25;12.50;10.00;0.3338
20.00;4;0.78;3.13;4.00;0.3334
20.00;3;1.17;4.69;4.50;0.3335
20.00;2;1.56;6.25;4.00;0.3335
20.00;1;3.13;6.25;5.00;0.3336
20.00;0;1.95;4.69;4.50;0.3335
20.00;11;1.56;6.25;26.08;0.0700
20.00;10;1.56;6.25;21.36;0.0699
20.00;9;1.17;4.69;6.96;0.0697
20.00;8;6.25;12.50;20.00;0.0702
20.00;7;1.56;6.25;9.84;0.0698
20.00;6;1.95;4.69;6.24;0.0697
20.00;5;6.25;12.50;8.00;0.0700
20.00;4;0.78;3.13;0.16;0.0695
20.00;3;1.17;4.69;7.76;0.0697
20.00;2;1.56;6.25;9.60;0.0698
20.00;1;3.13;6.25;2.00;0.0697
20.00;0;1.95;4.69;1.64;0.0696
30.00;11;1.56;6.25;6.00;0.3335
30.00;10;1.56;6.25;5.00;0.3335
30.00;9;1.17;4.69;5.00;0.3335
30.00;8;6.25;12.50;10.00;0.3338
30.00;7;1.56;6.25;5.00;0.3335
30.00;6;1.95;4.69;4.00;0.3335
30.00;5;6.25;12.50;10.00;0.3338
30.00;4;0.78;3.13;4.00;0.3334
30.00;3;1.17;4.69;4.50;0.3335
30.00;2;1.56;6.25;4.00;0.3335
30.00;1;3.13;6.25;5.00;0.3336
