# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
10;11;0.0000;0.0000;0.0000;0.0000
10;10;0.0000;0.0000;0.0000;0.0000
10;9;2.7344;10.9375;10.0000;0.3336
10;8;0.0000;0.0000;0.0000;0.0000
10;7;0.0000;0.0000;0.0000;0.0000
10;6;3.9063;9.3750;7.5000;0.3337
10;5;0.0000;0.0000;0.0000;0.0000
10;4;0.0000;0.0000;0.0000;0.0000
10;3;3.9063;9.3750;8.5000;0.3337
10;2;0.0000;0.0000;0.0000;0.0000
10;1;0.0000;0.0000;0.0000;0.0000
10;0;3.1250;9.3750;9.0000;0.3336
20;11;0.0000;0.0000;0.0000;0.0000
20;10;0.0000;0.0000;0.0000;0.0000
20;9;2.7344;10.9375;10.0000;0.6673
20;8;0.0000;0.0000;0.0000;0.0000
20;7;0.0000;0.0000;0.0000;0.0000
20;6;3.9063;9.3750;7.5000;0.6673
20;5;0.0000;0.0000;0.0000;0.0000
20;4;0.0000;0.0000;0.0000;0.0000
20;3;3.9063;9.3750;8.5000;0.6673
20;2;0.0000;0.0000;0.0000;0.0000
20;1;0.0000;0.0000;0.0000;0.0000
20;0;3.1250;9.3750;9.0000;0.6672
30;11;0.0000;0.0000;0.0000;0.0000
30;10;0.0000;0.0000;0.0000;0.0000
30;9;2.7344;10.9375;10.0000;1.0009
30;8;0.0000;0.0000;0.0000;0.0000
30;7;0.0000;0.0000;0.0000;0.0000
30;6;3.9063;9.3750;7.5000;1.0010
30;5;0.0000;0.0000;0.0000;0.0000
30;4;0.0000;0.0000;0.0000;0.0000
30;3;3.9063;9.3750;8.5000;1.0010
30;2;0.0000;0.0000;0.0000;0.0000
30;1;0.0000;0.0000;0.0000;0.0000
30;0;3.1250;9.3750;9.0000;1.0009
40;11;0.0000;0.0000;0.0000;0.0000
40;10;0.0000;0.0000;0.0000;0.0000
40;9;2.7344;10.9375;10.0000;1.3345
40;8;0.0000;0.0000;0.0000;0.0000
40;7;0.0000;0.0000;0.0000;0.0000
40;6;3.9063;9.3750;7.5000;1.3346
40;5;0.0000;0.0000;0.0000;0.0000
40;4;0.0000;0.0000;0.0000;0.0000
40;3;3.9063;9.3750;8.5000;1.3346
40;2;0.0000;0.0000;0.0000;0.0000
40;1;0.0000;0.0000;0.0000;0.0000
40;0;3.1250;9.3750;9.0000;1.3345
50;11;0.0000;0.0000;0.0000;0.0000
50;10;0.0000;0.0000;0.0000;0.0000
50;9;2.7344;10.9375;10.0000;1.6681
50;8;0.0000;0.0000;0.0000;0.0000
50;7;0.0000;0.0000;0.0000;0.0000
50;6;3.9063;9.3750;7.5000;1.6683
50;5;0.0000;0.0000;0.0000;0.0000
