timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;0.3336
10;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
10;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;0.3336
20;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;0.6672
20;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
20;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;0.6672
30;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;1.0007
30;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
30;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;1.0007
40;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;1.3343
40;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
40;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;1.3343
50;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;1.6679
50;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
50;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;1.6679
60;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;2.0015
60;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
60;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;2.0015
70;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
70;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
70;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;2.3350
70;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
70;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
70;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;2.3350
80;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
80;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
80;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;2.6686
80;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
80;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
80;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;2.6686
90;h_5;;0.0000;0.0000;0.0000;LWFF;0.0000
90;h_4;;0.0000;0.0000;0.0000;LWFF;0.0000
90;h_3;3|5|0|7;2.7344;7.8125;7.0000;LWFF;3.0022
90;h_2;;0.0000;0.0000;0.0000;LWFF;0.0000
90;h_1;;0.0000;0.0000;0.0000;LWFF;0.0000
90;h_0;4|2|1|6;2.7344;7.8125;7.0000;LWFF;3.0022
